numero,fecha_recogida (Fecha),UND
1,1 ene 2024,1
2,1 ene 2024,1
3,1 ene 2024,2
4,1 ene 2024,2
5,1 ene 2024,2
6,1 ene 2024,3
7,1 ene 2024,2
8,1 ene 2024,2
9,1 ene 2024,3
10,1 ene 2024,2
11,1 ene 2024,2
12,1 ene 2024,2
13,1 ene 2024,2
14,1 ene 2024,2
15,1 ene 2024,5
16,1 ene 2024,2
17,1 ene 2024,2
18,2 ene 2024,4
19,2 ene 2024,2
20,2 ene 2024,1
21,2 ene 2024,2
22,2 ene 2024,2
23,2 ene 2024,2
24,2 ene 2024,2
25,2 ene 2024,4
26,2 ene 2024,2
27,2 ene 2024,4
28,2 ene 2024,3
29,2 ene 2024,1
30,2 ene 2024,2
31,2 ene 2024,2
32,2 ene 2024,2
33,2 ene 2024,2
34,2 ene 2024,2
35,2 ene 2024,1
36,2 ene 2024,2
37,3 ene 2024,3
38,3 ene 2024,1
39,3 ene 2024,2
40,3 ene 2024,2
41,3 ene 2024,4
42,3 ene 2024,1
43,3 ene 2024,2
44,3 ene 2024,1
45,3 ene 2024,2
46,3 ene 2024,2
47,3 ene 2024,2
48,3 ene 2024,2
49,3 ene 2024,1
50,3 ene 2024,2
51,3 ene 2024,2
52,3 ene 2024,3
53,3 ene 2024,2
54,3 ene 2024,2
55,4 ene 2024,4
56,4 ene 2024,2
57,4 ene 2024,2
58,4 ene 2024,4
59,4 ene 2024,1
60,4 ene 2024,2
61,4 ene 2024,2
62,4 ene 2024,1
63,4 ene 2024,2
64,4 ene 2024,2
65,4 ene 2024,2
66,4 ene 2024,2
67,4 ene 2024,2
68,4 ene 2024,1
69,4 ene 2024,2
70,4 ene 2024,2
71,4 ene 2024,2
72,4 ene 2024,2
73,4 ene 2024,2
74,5 ene 2024,2
75,5 ene 2024,2
76,5 ene 2024,2
77,5 ene 2024,3
78,5 ene 2024,1
79,5 ene 2024,2
80,5 ene 2024,2
81,5 ene 2024,2
82,5 ene 2024,3
83,5 ene 2024,2
84,6 ene 2024,1
85,6 ene 2024,2
86,6 ene 2024,1
87,6 ene 2024,1
88,6 ene 2024,2
89,6 ene 2024,4
90,6 ene 2024,2
91,7 ene 2024,3
92,7 ene 2024,3
93,7 ene 2024,1
94,8 ene 2024,1
95,8 ene 2024,2
96,8 ene 2024,2
97,8 ene 2024,1
98,8 ene 2024,1
99,8 ene 2024,2
100,8 ene 2024,1
101,8 ene 2024,2
102,9 ene 2024,1
103,9 ene 2024,3
104,9 ene 2024,1
105,9 ene 2024,2
106,10 ene 2024,2
107,10 ene 2024,1
108,11 ene 2024,2
109,11 ene 2024,1
110,11 ene 2024,5
111,11 ene 2024,2
112,12 ene 2024,2
113,12 ene 2024,2
114,12 ene 2024,4
115,12 ene 2024,1
116,12 ene 2024,2
117,13 ene 2024,2
118,13 ene 2024,2
119,13 ene 2024,2
120,13 ene 2024,2
121,13 ene 2024,4
122,13 ene 2024,1
123,13 ene 2024,1
124,13 ene 2024,2
125,13 ene 2024,2
126,13 ene 2024,2
127,14 ene 2024,7
128,14 ene 2024,1
129,14 ene 2024,2
130,14 ene 2024,2
131,14 ene 2024,2
132,14 ene 2024,2
133,14 ene 2024,1
134,15 ene 2024,2
135,15 ene 2024,2
136,15 ene 2024,2
137,15 ene 2024,1
138,15 ene 2024,2
139,15 ene 2024,2
140,15 ene 2024,2
141,15 ene 2024,1
142,15 ene 2024,2
143,15 ene 2024,2
144,16 ene 2024,2
145,16 ene 2024,2
146,16 ene 2024,2
147,16 ene 2024,2
148,16 ene 2024,2
149,16 ene 2024,2
150,16 ene 2024,2
151,17 ene 2024,1
152,17 ene 2024,1
153,17 ene 2024,4
154,17 ene 2024,1
