register_id,source_dataset,source_portal,source_url,source_license,processing_timestamp,name,operator_base_name,site_label,operator_slug,operator_site_count_barcelona,operator_scale_barcelona,vehicle_family,vehicle_mode_detail,service_model,micromobility_fit,micromobility_relevance_score,ds4m_use_case_role,publication_recommendation,location_context,urban_centrality_band,distance_to_placa_catalunya_km,city,district_id,district_name,district_service_count,district_micromobility_count,neighborhood_id,neighborhood_name,neighborhood_service_count,neighborhood_micromobility_count,postcode,address_line,full_address,latitude,longitude,utm31n_x,utm31n_y,geo_cell_200m,geo_cell_service_count,geo_cell_micromobility_count,primary_contact_phone,phone_general,phone_information,phone_customer_service,phone_info_reservations,phone_switchboard,fax,has_contact_phone,source_created_at,source_modified_at,source_record_age_days,source_rows_aggregated,source_contact_fields_present
99400291961,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Barcelona Rent a Bike *Barceloneta Beach shop,Barcelona Rent a Bike,Barceloneta Beach shop,barcelona-rent-a-bike,2,two_site_operator,bicycle,bike,rental_or_hire,high,90,core_micromobility_supply,include_in_micromobility_supply_benchmark,waterfront_or_tourism,central_core,1.775,BARCELONA,1,Ciutat Vella,28,22,3,la Barceloneta,2,2,8003,"Pg Joan Borbó C Barcelona, 35","Pg Joan Borbó C Barcelona, 35, la Barceloneta, Ciutat Vella, BARCELONA",41.378623,2.188208,432118.94,4581107.09,20689_1094,2,2,932212790,,932212790,,,,,True,2012-05-02 09:54:05+00:00,2016-07-13 07:11:40+00:00,3533,1,1
99400090986,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Bike Rental Barcelona,Bike Rental Barcelona,,bike-rental-barcelona,1,single_site_operator,bicycle,bike,rental_or_hire,high,90,core_micromobility_supply,include_in_micromobility_supply_benchmark,central_tourism_business,central_core,1.161,BARCELONA,1,Ciutat Vella,28,22,1,el Raval,11,7,8001,"C Montserrat, 8","C Montserrat, 8, el Raval, Ciutat Vella, BARCELONA",41.377205,2.174914,431005.8,4580960.16,20688_1087,1,1,666057655,,666057655,,,,,True,2004-06-22 08:21:11+00:00,2014-12-04 17:53:55+00:00,4120,1,1
99400390723,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Happy rental bikes Barcelona,Happy rental bikes Barcelona,,happy-rental-bikes-barcelona,1,single_site_operator,bicycle,bike,rental_or_hire,high,90,core_micromobility_supply,include_in_micromobility_supply_benchmark,central_tourism_business,central_core,1.198,BARCELONA,1,Ciutat Vella,28,22,4,"Sant Pere, Santa Caterina i la Ribera",8,8,8018,"C Roger de Flor, 7","C Roger de Flor, 7, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, BARCELONA",41.390249,2.183793,431761.92,4582401.26,20695_1091,2,2,933 285 834,,933 285 834,,,,,True,2015-07-06 07:04:40+00:00,2018-10-22 09:17:31+00:00,2702,1,1
99400612711,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Bikes Barcelona rental,Bikes Barcelona rental,,bikes-barcelona-rental,1,single_site_operator,bicycle,bike,rental_or_hire,high,90,core_micromobility_supply,include_in_micromobility_supply_benchmark,central_tourism_business,central_core,1.636,BARCELONA,2,Eixample,25,7,5,el Fort Pienc,3,2,8013,"C Marina, 138","C Marina, 138, el Fort Pienc, Eixample, BARCELONA",41.39731,2.184093,431794.34,4583184.93,20698_1092,1,1,674 60 06 74,,,674 60 06 74,,,,True,2018-11-08 13:24:08+00:00,2018-11-08 13:26:13+00:00,2685,1,1
99400592020,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Delivery Bikes - Bike Rental,Delivery Bikes - Bike Rental,,delivery-bikes-bike-rental,1,single_site_operator,bicycle,bike,fleet_or_business_service,high,90,core_micromobility_supply,include_in_micromobility_supply_benchmark,central_tourism_business,central_core,1.73,BARCELONA,2,Eixample,25,7,5,el Fort Pienc,3,2,8013,"C Marina, 210","C Marina, 210, el Fort Pienc, Eixample, BARCELONA",41.400923,2.179357,431402.24,4583589.72,20700_1089,1,1,627 634 966,627 634 966,,,,,,True,2018-05-14 11:14:00+00:00,2018-05-14 11:16:08+00:00,2863,1,1
99400319433,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Pedal Bike Rental,Pedal Bike Rental,,pedal-bike-rental,1,single_site_operator,bicycle,bike,rental_or_hire,high,90,core_micromobility_supply,include_in_micromobility_supply_benchmark,urban_neighborhood,inner_city,3.005,BARCELONA,10,Sant Martí,25,6,68,el Poblenou,4,2,8005,"Camí Antic de València, 2","Camí Antic de València, 2, el Poblenou, Sant Martí, BARCELONA",41.402851,2.199271,433068.91,4583788.22,20701_1099,1,1,933 004 506,,933 004 506,,,,,True,2013-06-04 12:35:17+00:00,2017-12-11 10:14:39+00:00,3017,1,1
99400379593,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Ajo Bike,Ajo Bike,,ajo-bike,1,single_site_operator,bicycle,bike,rental_or_hire,high,80,core_micromobility_supply,include_in_micromobility_supply_benchmark,central_tourism_business,central_core,0.735,BARCELONA,1,Ciutat Vella,28,22,1,el Raval,11,7,8001,"C Roig, 5","C Roig, 5, el Raval, Ciutat Vella, BARCELONA",41.380453,2.168866,430503.52,4581325.63,20690_1084,1,1,930082298,930082298,,,,,,True,2015-03-09 15:58:02+00:00,2015-03-23 12:21:12+00:00,4011,1,1
99400613982,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Barcelona Cycle Co,Barcelona Cycle Co,,barcelona-cycle-co,1,single_site_operator,bicycle,bike,rental_or_hire,high,80,core_micromobility_supply,include_in_micromobility_supply_benchmark,central_tourism_business,central_core,0.863,BARCELONA,1,Ciutat Vella,28,22,4,"Sant Pere, Santa Caterina i la Ribera",8,8,8003,"C Vigatans, 2","C Vigatans, 2, Sant Pere, Santa Caterina i la Ribera, Ciutat Vella, BARCELONA",41.384059,2.179675,431411.11,4581717.25,20692_1089,2,2,933 153 259,,,933 153 259,,,,True,2018-11-27 10:29:46+00:00,2021-03-17 10:55:20.302947+00:00,1825,1,1
99400183230,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Barcelonabiking,Barcelonabiking,,barcelonabiking,1,single_site_operator,bicycle,bike,rental_or_hire,high,80,core_micromobility_supply,include_in_micromobility_supply_benchmark,central_tourism_business,central_core,0.827,BARCELONA,1,Ciutat Vella,28,22,2,el Barri Gòtic,7,5,8002,"Bda Sant Miquel, 6","Bda Sant Miquel, 6, el Barri Gòtic, Ciutat Vella, BARCELONA",41.381515,2.1768,431168.03,4581437.15,20690_1088,2,1,656356300,656356300,,,,,,True,2007-05-15 07:53:14+00:00,2007-05-15 07:59:49+00:00,6880,1,1
99400185222,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Barceloneta Bikes,Barceloneta Bikes,,barceloneta-bikes,1,single_site_operator,bicycle,bike,rental_or_hire,high,80,core_micromobility_supply,include_in_micromobility_supply_benchmark,waterfront_or_tourism,central_core,1.829,BARCELONA,1,Ciutat Vella,28,22,3,la Barceloneta,2,2,8003,"C Atlàntida, 49","C Atlàntida, 49, la Barceloneta, Ciutat Vella, BARCELONA",41.379875,2.189858,432258.17,4581244.8,20689_1094,2,2,600673796,600673796,,,,,,True,2007-06-13 11:54:12+00:00,2018-10-22 08:47:32+00:00,2702,1,1
